TimeStep Time Epsilon_xx Epsilon_yy Epsilon_zz Epsilon_yz Epsilon_xz Epsilon_xy Sigma_xx Sigma_yy Sigma_zz Sigma_yz Sigma_xz Sigma_xy Mises Pressure Norm
750 0.75 0.0075 -0.00320294 -0.00372573 -0.000666736 3.12555e-06 0.000221399 2.77319e+08 488.273 3003.85 881.448 -843.775 -878.198 2.77318e+08 -9.24409e+07 2.77319e+08
760 0.76 0.0076 -0.00324832 -0.00377733 -0.0006767 2.89541e-06 0.000223656 2.77793e+08 488.271 3003.54 880.193 -844.351 -877.549 2.77791e+08 -9.25988e+07 2.77793e+08
770 0.77 0.0077 -0.00329371 -0.00382891 -0.000686622 2.67996e-06 0.000225886 2.78265e+08 488.307 3003.27 878.974 -844.912 -876.904 2.78264e+08 -9.27563e+07 2.78265e+08
780 0.78 0.0078 -0.0033391 -0.00388046 -0.000696502 2.4791e-06 0.00022809 2.78736e+08 488.381 3003.04 877.79 -845.459 -876.263 2.78735e+08 -9.29133e+07 2.78736e+08
790 0.79 0.0079 -0.00338449 -0.00393197 -0.000706339 2.29271e-06 0.000230269 2.79206e+08 488.492 3002.84 876.64 -845.991 -875.625 2.79204e+08 -9.30699e+07 2.79206e+08
800 0.8 0.008 -0.00342988 -0.00398346 -0.000716134 2.12065e-06 0.000232424 2.79675e+08 488.639 3002.68 875.521 -846.508 -874.991 2.79673e+08 -9.3226e+07 2.79675e+08
810 0.81 0.0081 -0.00347528 -0.00403492 -0.000725888 1.96278e-06 0.000234555 2.80142e+08 488.823 3002.55 874.433 -847.012 -874.36 2.8014e+08 -9.33817e+07 2.80142e+08
820 0.82 0.0082 -0.00352068 -0.00408635 -0.0007356 1.81894e-06 0.000236663 2.80608e+08 489.042 3002.46 873.374 -847.501 -873.732 2.80606e+08 -9.35371e+07 2.80608e+08
830 0.83 0.0083 -0.00356608 -0.00413776 -0.000745272 1.68896e-06 0.000238749 2.81072e+08 489.296 3002.4 872.344 -847.977 -873.106 2.81071e+08 -9.3692e+07 2.81072e+08
840 0.84 0.0084 -0.00361148 -0.00418913 -0.000754903 1.57269e-06 0.000240813 2.81536e+08 489.585 3002.38 871.341 -848.44 -872.484 2.81534e+08 -9.38465e+07 2.81536e+08
850 0.85 0.0085 -0.00365688 -0.00424048 -0.000764495 1.46994e-06 0.000242857 2.81999e+08 489.908 3002.39 870.363 -848.89 -871.864 2.81997e+08 -9.40007e+07 2.81999e+08
860 0.86 0.0086 -0.00370228 -0.0042918 -0.000774046 1.38053e-06 0.000244881 2.8246e+08 490.265 3002.43 869.411 -849.328 -871.247 2.82458e+08 -9.41545e+07 2.8246e+08
870 0.87 0.0087 -0.00374768 -0.00434309 -0.000783558 1.30427e-06 0.000246886 2.8292e+08 490.655 3002.51 868.482 -849.753 -870.632 2.82918e+08 -9.43079e+07 2.8292e+08
880 0.88 0.0088 -0.00379309 -0.00439436 -0.000793032 1.24098e-06 0.000248872 2.83379e+08 491.079 3002.62 867.576 -850.166 -870.02 2.83378e+08 -9.4461e+07 2.83379e+08
890 0.89 0.0089 -0.00383849 -0.0044456 -0.000802466 1.19047e-06 0.000250839 2.83838e+08 491.535 3002.77 866.692 -850.567 -869.41 2.83836e+08 -9.46137e+07 2.83838e+08
900 0.9 0.009 -0.00388389 -0.00449682 -0.000811862 1.15254e-06 0.00025279 2.84295e+08 492.024 3002.95 865.829 -850.957 -868.802 2.84293e+08 -9.4766e+07 2.84295e+08
910 0.91 0.0091 -0.00392929 -0.00454801 -0.000821221 1.127e-06 0.000254723 2.84751e+08 492.545 3003.16 864.986 -851.335 -868.197 2.84749e+08 -9.49181e+07 2.84751e+08
920 0.92 0.0092 -0.00397468 -0.00459917 -0.000830541 1.11365e-06 0.00025664 2.85206e+08 493.098 3003.4 864.163 -851.703 -867.593 2.85204e+08 -9.50698e+07 2.85206e+08
930 0.93 0.0093 -0.00402008 -0.00465031 -0.000839825 1.1123e-06 0.000258542 2.8566e+08 493.682 3003.68 863.358 -852.059 -866.992 2.85658e+08 -9.52212e+07 2.8566e+08
940 0.94 0.0094 -0.00406547 -0.00470142 -0.000849072 1.12276e-06 0.000260428 2.86113e+08 494.297 3003.98 862.571 -852.406 -866.392 2.86111e+08 -9.53722e+07 2.86113e+08
950 0.95 0.0095 -0.00411086 -0.00475251 -0.000858282 1.14481e-06 0.000262299 2.86565e+08 494.944 3004.32 861.8 -852.742 -865.795 2.86564e+08 -9.5523e+07 2.86565e+08
960 0.96 0.0096 -0.00415625 -0.00480358 -0.000867456 1.17828e-06 0.000264156 2.87017e+08 495.621 3004.69 861.046 -853.068 -865.199 2.87015e+08 -9.56734e+07 2.87017e+08
970 0.97 0.0097 -0.00420164 -0.00485462 -0.000876594 1.22297e-06 0.000266 2.87467e+08 496.329 3005.09 860.308 -853.385 -864.605 2.87465e+08 -9.58235e+07 2.87467e+08
980 0.98 0.0098 -0.00424702 -0.00490564 -0.000885696 1.27868e-06 0.00026783 2.87917e+08 497.067 3005.52 859.585 -853.692 -864.013 2.87915e+08 -9.59734e+07 2.87917e+08
990 0.99 0.0099 -0.0042924 -0.00495663 -0.000894764 1.34523e-06 0.000269647 2.88365e+08 497.836 3005.98 858.876 -853.99 -863.423 2.88363e+08 -9.61229e+07 2.88365e+08
1000 1 0.01 -0.00433778 -0.0050076 -0.000903796 1.42241e-06 0.000271452 2.88813e+08 498.634 3006.48 858.181 -854.279 -862.834 2.88811e+08 -9.62722e+07 2.88813e+08
